trail,score
1,275
2,270
3,225
4,255
5,270
6,365
7,305
8,250
9,285
10,315
11,350
12,290
13,275
14,380
15,340
16,300
17,200
18,280
19,300
20,300
21,305
22,370
23,250
24,235
25,300
26,260
27,235
28,265
29,315
30,345
31,290
32,240
33,265
34,335
35,255
36,300
37,340
38,330
39,230
40,280
41,280
42,310
43,345
44,300
45,275
46,325
47,315
48,310
49,320
50,250
51,345
52,310
53,340
54,310
55,290
56,275
57,285
58,315
59,305
60,320
61,275
62,255
63,300
64,300
65,270
66,365
67,235
68,310
69,315
70,245
71,235
72,230
73,310
74,240
75,290
76,310
77,305
78,295
79,265
80,355
81,200
82,275
83,205
84,270
85,325
86,240
87,240
88,315
89,255
90,270
91,255
92,295
93,325
94,285
95,315
96,280
97,270
98,225
99,230
100,305
101,260
102,300
103,345
104,240
105,265
106,270
107,300
108,260
109,285
110,285
111,280
112,350
113,295
114,225
115,285
116,295
117,315
118,275
119,265
120,305
121,285
122,245
123,340
124,335
125,310
126,315
127,285
128,335
129,375
130,270
131,240
132,275
133,305
134,280
135,210
136,320
137,270
138,270
139,265
140,315
141,260
142,220
143,260
144,320
145,265
146,255
147,320
148,295
149,295
150,270
151,415
152,225
153,335
154,225
155,320
156,275
157,355
158,200
159,295
160,280
161,350
162,265
163,295
164,300
165,240
166,240
167,220
168,315
169,305
170,260
171,245
172,325
173,200
174,310
175,240
176,175
177,340
178,310
179,200
180,260
181,250
182,215
183,310
184,255
185,295
186,300
187,245
188,290
189,240
190,285
191,225
192,295
193,305
194,335
195,315
196,275
197,285
198,235
199,325
200,355
